symbol,entry_time,exit_time,entry_price,exit_price,pnl_pct
C2,2023-11-10 07:00:00+00:00,2023-11-10 08:00:00+00:00,36439.98,36516.3,0.002094402905819369
C1,2023-11-10 08:00:00+00:00,2023-11-10 09:00:00+00:00,0.3788,0.3849,0.016103484688489954
C10,2023-11-10 08:00:00+00:00,2023-11-10 09:00:00+00:00,252.3,253.4,0.004359889021006715
C13,2023-11-10 07:00:00+00:00,2023-11-10 09:00:00+00:00,5.084,5.109,0.004917387883556325
C14,2023-11-10 06:00:00+00:00,2023-11-10 09:00:00+00:00,9.17,9.169,-0.0001090512540893616
C15,2023-11-10 07:00:00+00:00,2023-11-10 09:00:00+00:00,0.8275,0.8393,0.014259818731117865
C8,2023-11-10 07:00:00+00:00,2023-11-10 10:00:00+00:00,0.6533,0.6582,0.00750038267258536
C9,2023-11-10 06:00:00+00:00,2023-11-10 10:00:00+00:00,73.39,73.36,-0.0004087750374710606
C18,2023-11-10 10:00:00+00:00,2023-11-10 11:00:00+00:00,0.24275,0.2438,0.004325437693099878
C19,2023-11-10 11:00:00+00:00,2023-11-10 14:00:00+00:00,0.4066,0.3991,-0.018445646827348762
C5,2023-11-10 13:00:00+00:00,2023-11-10 15:00:00+00:00,13.16,13.31,0.01139817629179334
C11,2023-11-10 13:00:00+00:00,2023-11-10 16:00:00+00:00,0.3689,0.3732,0.011656275413391082
C13,2023-11-10 15:00:00+00:00,2023-11-10 16:00:00+00:00,5.03,5.098,0.0135188866799204
C14,2023-11-10 15:00:00+00:00,2023-11-10 16:00:00+00:00,9.093,9.176,0.009127900582865962
C7,2023-11-10 13:00:00+00:00,2023-11-10 16:00:00+00:00,0.07361,0.0742,0.008015215324004989
C2,2023-11-10 16:00:00+00:00,2023-11-10 17:00:00+00:00,37377.46,37200.47,-0.004735206726192683
C1,2023-11-10 16:00:00+00:00,2023-11-10 19:00:00+00:00,0.3981,0.4065,0.0211002260738507
